player_name,player_pos,player_link_official,player_link_ep,player_image
Ray Bourque,D,https://www.nhl.com/player/8445621,,https://assets.nhle.com/mugs/nhl/20002001/COL/8445621.png
Greg De Vries,D,https://www.nhl.com/player/8460254,,https://assets.nhle.com/mugs/nhl/20002001/COL/8460254.png
Stephane Yelle,C,https://www.nhl.com/player/8459122,,https://assets.nhle.com/mugs/nhl/20002001/COL/8459122.png
Eric Messier,LW,https://www.nhl.com/player/8460012,,https://assets.nhle.com/mugs/nhl/20002001/COL/8460012.png
Steve Reinprecht,C,https://www.nhl.com/player/8468432,,https://assets.nhle.com/mugs/nhl/20002001/COL/8468432.png
Yuri Babenko,C,https://www.nhl.com/player/8465002,,https://assets.nhle.com/mugs/nhl/20002001/COL/8465002.png
Pascal Trepanier,D,https://www.nhl.com/player/8460087,,https://assets.nhle.com/mugs/nhl/20012002/COL/8460087.png
Vaclav Nedorost,C,https://www.nhl.com/player/8468494,,https://assets.nhle.com/mugs/nhl/20012002/COL/8468494.png
Denis Smith,D,https://www.nhl.com/player/8462069,,https://assets.nhle.com/mugs/nhl/20022003/COL/8462069.png
Steve Brule,C,https://www.nhl.com/player/8459566,,https://assets.nhle.com/mugs/nhl/20022003/COL/8459566.png
Teemu Selanne,RW,https://www.nhl.com/player/8457981,,https://assets.nhle.com/mugs/nhl/20032004/COL/8457981.png
Ossi Vaananen,D,https://www.nhl.com/player/8467369,,https://assets.nhle.com/mugs/nhl/20032004/COL/8467369.png
Ian Laperriere,RW,https://www.nhl.com/player/8459094,,https://assets.nhle.com/mugs/nhl/20052006/COL/8459094.png
Ben Guite,RW,https://www.nhl.com/player/8466300,,https://assets.nhle.com/mugs/nhl/20062007/COL/8466300.png
TJ Galiardi,LW,https://www.nhl.com/player/8474001,,https://assets.nhle.com/mugs/nhl/20082009/COL/8474001.png
Daniel Tjarnqvist,D,https://www.nhl.com/player/8462115,,https://assets.nhle.com/mugs/nhl/20082009/COL/8462115.png
Jonas Holos,D,https://www.nhl.com/player/8474730,,https://assets.nhle.com/mugs/nhl/20102011/COL/8474730.png
Joakim Lindstrom,C,https://www.nhl.com/player/8470152,,https://assets.nhle.com/mugs/nhl/20112012/COL/8470152.png
PA Parenteau,RW,https://www.nhl.com/player/8469707,,https://assets.nhle.com/mugs/nhl/20122013/COL/8469707.png
Michael Sgarbossa,C,https://www.nhl.com/player/8475958,,https://assets.nhle.com/mugs/nhl/20122013/COL/8475958.png
Andre Benoit,D,https://www.nhl.com/player/8470378,,https://assets.nhle.com/mugs/nhl/20132014/COL/8470378.png
Max Talbot,C,https://www.nhl.com/player/8470171,,https://assets.nhle.com/mugs/nhl/20132014/COL/8470171.png
Marc-Andre Cliche,C,https://www.nhl.com/player/8471718,,https://assets.nhle.com/mugs/nhl/20132014/COL/8471718.png
Carl Soderberg,C,https://www.nhl.com/player/8471262,,https://assets.nhle.com/mugs/nhl/20152016/COL/8471262.png
Francois Beauchemin,D,https://www.nhl.com/player/8467400,,https://assets.nhle.com/mugs/nhl/20152016/COL/8467400.png
Mikkel Boedker,LW,https://www.nhl.com/player/8474571,,https://assets.nhle.com/mugs/nhl/20152016/COL/8474571.png
Eric Gelinas,D,https://www.nhl.com/player/8475199,,https://assets.nhle.com/mugs/nhl/20152016/COL/8475199.png
Rene Bourque,RW,https://www.nhl.com/player/8471504,,https://assets.nhle.com/mugs/nhl/20162017/COL/8471504.png
Fedor Tyutin,D,https://www.nhl.com/player/8469492,,https://assets.nhle.com/mugs/nhl/20162017/COL/8469492.png
Andre Burakovsky,LW,https://www.nhl.com/player/8477444,,https://assets.nhle.com/mugs/nhl/20192020/COL/8477444.png
Pierre-Edouard Bellemare,LW,https://www.nhl.com/player/8477930,,https://assets.nhle.com/mugs/nhl/20192020/COL/8477930.png
Calle Rosen,D,https://www.nhl.com/player/8480157,,https://assets.nhle.com/mugs/nhl/20192020/COL/8480157.png
Nicolas Aube-Kubel,RW,https://www.nhl.com/player/8477979,,https://assets.nhle.com/mugs/nhl/20212022/COL/8477979.png
Callahan Burke,C,https://www.nhl.com/player/8482250,,https://assets.nhle.com/mugs/nhl/20222023/COL/8482250.png
Alex Galchenyuk,C,https://www.nhl.com/player/8476851,,https://assets.nhle.com/mugs/nhl/20222023/COL/8476851.png
Ondrej Pavel,C,https://www.nhl.com/player/8484259,,https://assets.nhle.com/mugs/nhl/20232024/COL/8484259.png
Martin Necas,C,https://www.nhl.com/player/8480039,,https://assets.nhle.com/mugs/nhl/20242025/COL/8480039.png
Eric Daze,LW,https://www.nhl.com/player/8459515,,https://assets.nhle.com/mugs/nhl/20002001/CHI/8459515.png
Stephane Quintal,D,https://www.nhl.com/player/8450620,,https://assets.nhle.com/mugs/nhl/20002001/CHI/8450620.png
Ryan Vandenbussche,RW,https://www.nhl.com/player/8459109,,https://assets.nhle.com/mugs/nhl/20002001/CHI/8459109.png
Chris Mcalpine,D,https://www.nhl.com/player/8457264,,https://assets.nhle.com/mugs/nhl/20002001/CHI/8457264.png
Reto Von Arx,LW,https://www.nhl.com/player/8468751,,https://assets.nhle.com/mugs/nhl/20002001/CHI/8468751.png
Igor Korolev,C,https://www.nhl.com/player/8458974,,https://assets.nhle.com/mugs/nhl/20012002/CHI/8458974.png
Pascal Rheaume,C,https://www.nhl.com/player/8459223,,https://assets.nhle.com/mugs/nhl/20012002/CHI/8459223.png
Louie Debrusk,LW,https://www.nhl.com/player/8456031,,https://assets.nhle.com/mugs/nhl/20022003/CHI/8456031.png
Stephane Robidas,D,https://www.nhl.com/player/8462196,,https://assets.nhle.com/mugs/nhl/20032004/CHI/8462196.png
Pavel Vorobiev,RW,https://www.nhl.com/player/8468491,,https://assets.nhle.com/mugs/nhl/20032004/CHI/8468491.png
Martin Havlat,RW,https://www.nhl.com/player/8467899,,https://assets.nhle.com/mugs/nhl/20062007/CHI/8467899.png
Nikita Alexeev,RW,https://www.nhl.com/player/8468488,,https://assets.nhle.com/mugs/nhl/20062007/CHI/8468488.png
Samuel Pahlsson,C,https://www.nhl.com/player/8465192,,https://assets.nhle.com/mugs/nhl/20082009/CHI/8465192.png
Marian Hossa,RW,https://www.nhl.com/player/8466148,,https://assets.nhle.com/mugs/nhl/20092010/CHI/8466148.png
Viktor Stalberg,LW,https://www.nhl.com/player/8473537,,https://assets.nhle.com/mugs/nhl/20102011/CHI/8473537.png
Michael Frolik,RW,https://www.nhl.com/player/8473564,,https://assets.nhle.com/mugs/nhl/20102011/CHI/8473564.png
Marcus Kruger,C,https://www.nhl.com/player/8475323,,https://assets.nhle.com/mugs/nhl/20102011/CHI/8475323.png
Sami Lepisto,D,https://www.nhl.com/player/8471279,,https://assets.nhle.com/mugs/nhl/20112012/CHI/8471279.png
Michal Rozsival,D,https://www.nhl.com/player/8465058,,https://assets.nhle.com/mugs/nhl/20122013/CHI/8465058.png
Joakim Nordstrom,C,https://www.nhl.com/player/8475807,,https://assets.nhle.com/mugs/nhl/20132014/CHI/8475807.png
Teuvo Teravainen,C,https://www.nhl.com/player/8476882,,https://assets.nhle.com/mugs/nhl/20132014/CHI/8476882.png
Artem Anisimov,C,https://www.nhl.com/player/8473573,,https://assets.nhle.com/mugs/nhl/20162017/CHI/8473573.png
Richard Panik,RW,https://www.nhl.com/player/8475209,,https://assets.nhle.com/mugs/nhl/20162017/CHI/8475209.png
Michal Kempny,D,https://www.nhl.com/player/8479482,,https://assets.nhle.com/mugs/nhl/20162017/CHI/8479482.png
David Kampf,C,https://www.nhl.com/player/8480144,,https://assets.nhle.com/mugs/nhl/20172018/CHI/8480144.png
Carl Dahlstrom,D,https://www.nhl.com/player/8477472,,https://assets.nhle.com/mugs/nhl/20172018/CHI/8477472.png
Dominik Kubalik,LW,https://www.nhl.com/player/8477330,,https://assets.nhle.com/mugs/nhl/20192020/CHI/8477330.png
Alex Nylander,LW,https://www.nhl.com/player/8479423,,https://assets.nhle.com/mugs/nhl/20192020/CHI/8479423.png
Henrik Borgstrom,C,https://www.nhl.com/player/8479404,,https://assets.nhle.com/mugs/nhl/20212022/CHI/8479404.png
Buddy Robinson,RW,https://www.nhl.com/player/8477210,,https://assets.nhle.com/mugs/nhl/20222023/CHI/8477210.png
David Gust,RW,https://www.nhl.com/player/8480328,,https://assets.nhle.com/mugs/nhl/20222023/CHI/8480328.png
Zachary Sanford,LW,https://www.nhl.com/player/8477482,,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477482.png
David Vyborny,RW,https://www.nhl.com/player/8459455,,https://assets.nhle.com/mugs/nhl/20002001/CBJ/8459455.png
Radim Bicanek,D,https://www.nhl.com/player/8459449,,https://assets.nhle.com/mugs/nhl/20002001/CBJ/8459449.png
